[Sun 05 Apr 2026 07:51:18 PM IST] Blocked 127.0.0.1 after 5 attempts
[Mon 06 Apr 2026 09:25:22 PM IST] ALERT: 192.168.1.46 exceeded connection threshold (62)
[Mon 06 Apr 2026 09:25:32 PM IST] ALERT: 192.168.1.46 exceeded connection threshold (64)
[Mon 06 Apr 2026 09:25:42 PM IST] ALERT: 192.168.1.46 exceeded connection threshold (67)
[Mon 06 Apr 2026 09:25:52 PM IST] ALERT: 192.168.1.46 exceeded connection threshold (66)
[Mon 06 Apr 2026 09:26:02 PM IST] ALERT: 192.168.1.46 exceeded connection threshold (65)
[Mon 06 Apr 2026 09:26:12 PM IST] ALERT: 192.168.1.46 exceeded connection threshold (58)
[Mon 06 Apr 2026 09:26:22 PM IST] ALERT: 192.168.1.46 exceeded connection threshold (60)
[Mon 06 Apr 2026 09:26:32 PM IST] ALERT: 192.168.1.46 exceeded connection threshold (61)
[Mon 06 Apr 2026 09:26:42 PM IST] ALERT: 192.168.1.46 exceeded connection threshold (60)
[Mon 06 Apr 2026 09:26:52 PM IST] ALERT: 192.168.1.46 exceeded connection threshold (59)
[Mon 06 Apr 2026 09:27:02 PM IST] ALERT: 192.168.1.46 exceeded connection threshold (57)
[Mon 06 Apr 2026 09:27:12 PM IST] ALERT: 192.168.1.46 exceeded connection threshold (57)
[Mon 06 Apr 2026 09:27:22 PM IST] ALERT: 192.168.1.46 exceeded connection threshold (55)
[Mon 06 Apr 2026 09:27:32 PM IST] ALERT: 192.168.1.46 exceeded connection threshold (53)
[Mon 06 Apr 2026 09:27:42 PM IST] ALERT: 192.168.1.46 exceeded connection threshold (48)
[Mon 06 Apr 2026 09:27:53 PM IST] ALERT: 192.168.1.46 exceeded connection threshold (51)
[Mon 06 Apr 2026 09:28:03 PM IST] ALERT: 192.168.1.46 exceeded connection threshold (47)
[Mon 06 Apr 2026 09:28:13 PM IST] ALERT: 192.168.1.46 exceeded connection threshold (46)
[Mon 06 Apr 2026 09:28:23 PM IST] ALERT: 192.168.1.46 exceeded connection threshold (41)
[Mon 06 Apr 2026 09:28:33 PM IST] ALERT: 192.168.1.46 exceeded connection threshold (41)
[Mon Apr  6 09:30:56 PM IST 2026] Blocked 127.0.0.1 after 9 attempts
